ComCode,Description,ShortDesc,CatGroupID,CatGroup,CatGroupOrder
18636,USDA Imported Meat - Fresh Beef - AMR - Australia,USDA Imported Meat - Fresh Beef - AMR - AUS,640,USDA Imported Meat - Fresh Beef,5
18637,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Australia,USDA Imported Meat - Fresh Beef - Boneless Trimmings - AUS,640,USDA Imported Meat - Fresh Beef,10
18638,USDA Imported Meat - Fresh Beef - Cheek Meat - Australia,USDA Imported Meat - Fresh Beef - Cheek Meat - AUS,640,USDA Imported Meat - Fresh Beef,15
18639,USDA Imported Meat - Fresh Beef - Cuts - Australia,USDA Imported Meat - Fresh Beef - Cuts - AUS,640,USDA Imported Meat - Fresh Beef,20
18640,USDA Imported Meat - Fresh Beef - Edible Offal - Australia,USDA Imported Meat - Fresh Beef - Edible Offal - AUS,640,USDA Imported Meat - Fresh Beef,25
18641,USDA Imported Meat - Fresh Beef - Head Meat - Australia,USDA Imported Meat - Fresh Beef - Head Meat - AUS,640,USDA Imported Meat - Fresh Beef,30
18642,USDA Imported Meat - Fresh Beef - Other Intact - Australia,USDA Imported Meat - Fresh Beef - Other Intact - AUS,640,USDA Imported Meat - Fresh Beef,35
18643,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Australia,USDA Imported Meat - Fresh Beef - Primals & Subprimals - AUS,640,USDA Imported Meat - Fresh Beef,40
18644,USDA Imported Meat - Fresh Beef - AMR - Brazil,USDA Imported Meat - Fresh Beef - AMR - BRZ,640,USDA Imported Meat - Fresh Beef,45
18645,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Brazil,USDA Imported Meat - Fresh Beef - Boneless Trimmings - BRZ,640,USDA Imported Meat - Fresh Beef,50
18646,USDA Imported Meat - Fresh Beef - Cheek Meat - Brazil,USDA Imported Meat - Fresh Beef - Cheek Meat - BRZ,640,USDA Imported Meat - Fresh Beef,55
18647,USDA Imported Meat - Fresh Beef - Cuts - Brazil,USDA Imported Meat - Fresh Beef - Cuts - BRZ,640,USDA Imported Meat - Fresh Beef,60
18648,USDA Imported Meat - Fresh Beef - Edible Offal - Brazil,USDA Imported Meat - Fresh Beef - Edible Offal - BRZ,640,USDA Imported Meat - Fresh Beef,65
18649,USDA Imported Meat - Fresh Beef - Head Meat - Brazil,USDA Imported Meat - Fresh Beef - Head Meat - BRZ,640,USDA Imported Meat - Fresh Beef,70
18650,USDA Imported Meat - Fresh Beef - Other Intact - Brazil,USDA Imported Meat - Fresh Beef - Other Intact - BRZ,640,USDA Imported Meat - Fresh Beef,75
18651,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Brazil,USDA Imported Meat - Fresh Beef - Primals & Subprimals - BRZ,640,USDA Imported Meat - Fresh Beef,80
18652,USDA Imported Meat - Fresh Beef - AMR - Canada,USDA Imported Meat - Fresh Beef - AMR - CAN,640,USDA Imported Meat - Fresh Beef,85
18653,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Canada,USDA Imported Meat - Fresh Beef - Boneless Trimmings - CAN,640,USDA Imported Meat - Fresh Beef,90
18654,USDA Imported Meat - Fresh Beef - Cheek Meat - Canada,USDA Imported Meat - Fresh Beef - Cheek Meat - CAN,640,USDA Imported Meat - Fresh Beef,95
18655,USDA Imported Meat - Fresh Beef - Cuts - Canada,USDA Imported Meat - Fresh Beef - Cuts - CAN,640,USDA Imported Meat - Fresh Beef,100
18656,USDA Imported Meat - Fresh Beef - Edible Offal - Canada,USDA Imported Meat - Fresh Beef - Edible Offal - CAN,640,USDA Imported Meat - Fresh Beef,105
18657,USDA Imported Meat - Fresh Beef - Head Meat - Canada,USDA Imported Meat - Fresh Beef - Head Meat - CAN,640,USDA Imported Meat - Fresh Beef,110
18658,USDA Imported Meat - Fresh Beef - Other Intact - Canada,USDA Imported Meat - Fresh Beef - Other Intact - CAN,640,USDA Imported Meat - Fresh Beef,115
18659,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Canada,USDA Imported Meat - Fresh Beef - Primals & Subprimals - CAN,640,USDA Imported Meat - Fresh Beef,120
18660,USDA Imported Meat - Fresh Beef - AMR - Chile,USDA Imported Meat - Fresh Beef - AMR - CHL,640,USDA Imported Meat - Fresh Beef,125
18661,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Chile,USDA Imported Meat - Fresh Beef - Boneless Trimmings - CHL,640,USDA Imported Meat - Fresh Beef,130
18662,USDA Imported Meat - Fresh Beef - Cheek Meat - Chile,USDA Imported Meat - Fresh Beef - Cheek Meat - CHL,640,USDA Imported Meat - Fresh Beef,135
18663,USDA Imported Meat - Fresh Beef - Cuts - Chile,USDA Imported Meat - Fresh Beef - Cuts - CHL,640,USDA Imported Meat - Fresh Beef,140
18664,USDA Imported Meat - Fresh Beef - Edible Offal - Chile,USDA Imported Meat - Fresh Beef - Edible Offal - CHL,640,USDA Imported Meat - Fresh Beef,145
18665,USDA Imported Meat - Fresh Beef - Head Meat - Chile,USDA Imported Meat - Fresh Beef - Head Meat - CHL,640,USDA Imported Meat - Fresh Beef,150
18666,USDA Imported Meat - Fresh Beef - Other Intact - Chile,USDA Imported Meat - Fresh Beef - Other Intact - CHL,640,USDA Imported Meat - Fresh Beef,155
18667,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Chile,USDA Imported Meat - Fresh Beef - Primals & Subprimals - CHL,640,USDA Imported Meat - Fresh Beef,160
18668,USDA Imported Meat - Fresh Beef - AMR - Costa Rica,USDA Imported Meat - Fresh Beef - AMR - CR,640,USDA Imported Meat - Fresh Beef,165
18669,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Costa Rica,USDA Imported Meat - Fresh Beef - Boneless Trimmings - CR,640,USDA Imported Meat - Fresh Beef,170
18670,USDA Imported Meat - Fresh Beef - Cheek Meat - Costa Rica,USDA Imported Meat - Fresh Beef - Cheek Meat - CR,640,USDA Imported Meat - Fresh Beef,175
18671,USDA Imported Meat - Fresh Beef - Cuts - Costa Rica,USDA Imported Meat - Fresh Beef - Cuts - CR,640,USDA Imported Meat - Fresh Beef,180
18672,USDA Imported Meat - Fresh Beef - Edible Offal - Costa Rica,USDA Imported Meat - Fresh Beef - Edible Offal - CR,640,USDA Imported Meat - Fresh Beef,185
18673,USDA Imported Meat - Fresh Beef - Head Meat - Costa Rica,USDA Imported Meat - Fresh Beef - Head Meat - CR,640,USDA Imported Meat - Fresh Beef,190
18674,USDA Imported Meat - Fresh Beef - Other Intact - Costa Rica,USDA Imported Meat - Fresh Beef - Other Intact - CR,640,USDA Imported Meat - Fresh Beef,195
18675,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Costa Rica,USDA Imported Meat - Fresh Beef - Primals & Subprimals - CR,640,USDA Imported Meat - Fresh Beef,200
18676,USDA Imported Meat - Fresh Beef - AMR - Honduras,USDA Imported Meat - Fresh Beef - AMR - HON,640,USDA Imported Meat - Fresh Beef,205
18677,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Honduras,USDA Imported Meat - Fresh Beef - Boneless Trimmings - HON,640,USDA Imported Meat - Fresh Beef,210
18678,USDA Imported Meat - Fresh Beef - Cheek Meat - Honduras,USDA Imported Meat - Fresh Beef - Cheek Meat - HON,640,USDA Imported Meat - Fresh Beef,215
18679,USDA Imported Meat - Fresh Beef - Cuts - Honduras,USDA Imported Meat - Fresh Beef - Cuts - HON,640,USDA Imported Meat - Fresh Beef,220
18680,USDA Imported Meat - Fresh Beef - Edible Offal - Honduras,USDA Imported Meat - Fresh Beef - Edible Offal - HON,640,USDA Imported Meat - Fresh Beef,225
18681,USDA Imported Meat - Fresh Beef - Head Meat - Honduras,USDA Imported Meat - Fresh Beef - Head Meat - HON,640,USDA Imported Meat - Fresh Beef,230
18682,USDA Imported Meat - Fresh Beef - Other Intact - Honduras,USDA Imported Meat - Fresh Beef - Other Intact - HON,640,USDA Imported Meat - Fresh Beef,235
18683,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Honduras,USDA Imported Meat - Fresh Beef - Primals & Subprimals - HON,640,USDA Imported Meat - Fresh Beef,240
18684,USDA Imported Meat - Fresh Beef - AMR - Ireland,USDA Imported Meat - Fresh Beef - AMR - IRL,640,USDA Imported Meat - Fresh Beef,245
18685,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Ireland,USDA Imported Meat - Fresh Beef - Boneless Trimmings - IRL,640,USDA Imported Meat - Fresh Beef,250
18686,USDA Imported Meat - Fresh Beef - Cheek Meat - Ireland,USDA Imported Meat - Fresh Beef - Cheek Meat - IRL,640,USDA Imported Meat - Fresh Beef,255
18687,USDA Imported Meat - Fresh Beef - Cuts - Ireland,USDA Imported Meat - Fresh Beef - Cuts - IRL,640,USDA Imported Meat - Fresh Beef,260
18688,USDA Imported Meat - Fresh Beef - Edible Offal - Ireland,USDA Imported Meat - Fresh Beef - Edible Offal - IRL,640,USDA Imported Meat - Fresh Beef,265
18689,USDA Imported Meat - Fresh Beef - Head Meat - Ireland,USDA Imported Meat - Fresh Beef - Head Meat - IRL,640,USDA Imported Meat - Fresh Beef,270
18690,USDA Imported Meat - Fresh Beef - Other Intact - Ireland,USDA Imported Meat - Fresh Beef - Other Intact - IRL,640,USDA Imported Meat - Fresh Beef,275
18691,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Ireland,USDA Imported Meat - Fresh Beef - Primals & Subprimals - IRL,640,USDA Imported Meat - Fresh Beef,280
18692,USDA Imported Meat - Fresh Beef - AMR - Japan,USDA Imported Meat - Fresh Beef - AMR - JAP,640,USDA Imported Meat - Fresh Beef,285
18693,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Japan,USDA Imported Meat - Fresh Beef - Boneless Trimmings - JAP,640,USDA Imported Meat - Fresh Beef,290
18694,USDA Imported Meat - Fresh Beef - Cheek Meat - Japan,USDA Imported Meat - Fresh Beef - Cheek Meat - JAP,640,USDA Imported Meat - Fresh Beef,295
18695,USDA Imported Meat - Fresh Beef - Cuts - Japan,USDA Imported Meat - Fresh Beef - Cuts - JAP,640,USDA Imported Meat - Fresh Beef,300
18696,USDA Imported Meat - Fresh Beef - Edible Offal - Japan,USDA Imported Meat - Fresh Beef - Edible Offal - JAP,640,USDA Imported Meat - Fresh Beef,305
18697,USDA Imported Meat - Fresh Beef - Head Meat - Japan,USDA Imported Meat - Fresh Beef - Head Meat - JAP,640,USDA Imported Meat - Fresh Beef,310
18698,USDA Imported Meat - Fresh Beef - Other Intact - Japan,USDA Imported Meat - Fresh Beef - Other Intact - JAP,640,USDA Imported Meat - Fresh Beef,315
18699,USDA Imported Meat - Fresh Beef - Primals & Subprimals - Japan,USDA Imported Meat - Fresh Beef - Primals & Subprimals - JAP,640,USDA Imported Meat - Fresh Beef,320
18700,USDA Imported Meat - Fresh Beef - AMR - Mexico,USDA Imported Meat - Fresh Beef - AMR - MEX,640,USDA Imported Meat - Fresh Beef,325
18701,USDA Imported Meat - Fresh Beef - Boneless Trimmings - Mexico,USDA Imported Meat - Fresh Beef - Boneless Trimmings - MEX,640,USDA Imported Meat - Fresh Beef,330
18702,USDA Imported Meat - Fresh Beef - Cheek Meat - Mexico,USDA Imported Meat - Fresh Beef - Cheek Meat - MEX,640,USDA Imported Meat - Fresh Beef,335
18703,USDA Imported Meat - Fresh Beef - Cuts - Mexico,USDA Imported Meat - Fresh Beef - Cuts - MEX,640,USDA Imported Meat - Fresh Beef,340
18704,USDA Imported Meat - Fresh Beef - Edible Offal - Mexico,USDA Imported Meat - Fresh Beef - Edible Offal - MEX,640,USDA Imported Meat - Fresh Beef,345
