P	W	importedmeat_processedpork	 
Date    	ComCode 	Description                                                                         	High 
 	18850   	USDA Imported Meat - Processed Pork - Fully Cooked - Not Shelf Stable - Canada      	 
 	18851   	USDA Imported Meat - Processed Pork - Heat Treated - Not Shelf Stable - Canada      	 
 	18852   	USDA Imported Meat - Processed Pork - Heat Treated - Shelf Stable - Canada          	 
 	18853   	USDA Imported Meat - Processed Pork - Not Heat Treated - Shelf Stable - Canada      	 
 	18854   	USDA Imported Meat - Processed Pork - Second Inhib Not Shelf Stable - Canada        	 
 	18855   	USDA Imported Meat - Processed Pork - Thermally Processed - Canada                  	 
 	18856   	USDA Imported Meat - Processed Pork - Fully Cooked - Not Shelf Stable - Croatia     	 
 	18857   	USDA Imported Meat - Processed Pork - Heat Treated - Not Shelf Stable - Croatia     	 
 	18858   	USDA Imported Meat - Processed Pork - Heat Treated - Shelf Stable - Croatia         	 
 	18859   	USDA Imported Meat - Processed Pork - Not Heat Treated - Shelf Stable - Croatia     	 
 	18860   	USDA Imported Meat - Processed Pork - Second Inhib Not Shelf Stable - Croatia       	 
 	18861   	USDA Imported Meat - Processed Pork - Thermally Processed - Croatia                 	 
 	18862   	USDA Imported Meat - Processed Pork - Fully Cooked - Not Shelf Stable - Denmark     	 
 	18863   	USDA Imported Meat - Processed Pork - Heat Treated - Not Shelf Stable - Denmark     	 
 	18864   	USDA Imported Meat - Processed Pork - Heat Treated - Shelf Stable - Denmark         	 
 	18865   	USDA Imported Meat - Processed Pork - Not Heat Treated - Shelf Stable - Denmark     	 
 	18866   	USDA Imported Meat - Processed Pork - Second Inhib Not Shelf Stable - Denmark       	 
 	18867   	USDA Imported Meat - Processed Pork - Thermally Processed - Denmark                 	 
 	18868   	USDA Imported Meat - Processed Pork - Fully Cooked - Not Shelf Stable - Germany     	 
 	18869   	USDA Imported Meat - Processed Pork - Heat Treated - Not Shelf Stable - Germany     	 
 	18870   	USDA Imported Meat - Processed Pork - Heat Treated - Shelf Stable - Germany         	 
