V	W	importedmeat_veal	 
Date    	ComCode 	Description                                                                           	High 
 	18966   	USDA Imported Meat - Veal - Boneless Trimmings - Australia                            	 
 	18967   	USDA Imported Meat - Veal - Carcasses - Australia                                     	 
 	18968   	USDA Imported Meat - Veal - Cuts - Australia                                          	 
 	18969   	USDA Imported Meat - Veal - Edible Offal - Australia                                  	 
 	18970   	USDA Imported Meat - Veal - Other Intact - Australia                                  	 
 	18971   	USDA Imported Meat - Veal - Primals & Subprimals - Australia                          	 
 	18972   	USDA Imported Meat - Veal - Boneless Trimmings - Canada                               	 
 	18973   	USDA Imported Meat - Veal - Carcasses - Canada                                        	 
 	18974   	USDA Imported Meat - Veal - Cuts - Canada                                             	 
 	18975   	USDA Imported Meat - Veal - Edible Offal - Canada                                     	 
 	18976   	USDA Imported Meat - Veal - Other Intact - Canada                                     	 
 	18977   	USDA Imported Meat - Veal - Primals & Subprimals - Canada                             	 
 	18978   	USDA Imported Meat - Veal - Boneless Trimmings - New Zealand                          	 
 	18979   	USDA Imported Meat - Veal - Carcasses - New Zealand                                   	 
 	18980   	USDA Imported Meat - Veal - Cuts - New Zealand                                        	 
 	18981   	USDA Imported Meat - Veal - Edible Offal - New Zealand                                	 
 	18982   	USDA Imported Meat - Veal - Other Intact - New Zealand                                	 
 	18983   	USDA Imported Meat - Veal - Primals & Subprimals - New Zealand                        	 
 	18984   	USDA Imported Meat - Veal - Boneless Trimmings - Total                                	 
 	18985   	USDA Imported Meat - Veal - Carcasses - Total                                         	 
 	18986   	USDA Imported Meat - Veal - Cuts - Total                                              	 
 	18987   	USDA Imported Meat - Veal - Edible Offal - Total                                      	 
 	18988   	USDA Imported Meat - Veal - Other Intact - Total                                      	 
 	18989   	USDA Imported Meat - Veal - Primals & Subprimals - Total                              	 
